task,dataset,comparison,variant_or_head,metric,difference,unit
state,dataset_macro,mlp-linear,A4,AUROC,-1.2554237306408478,percentage_points
state,dataset_macro,mlp-linear,A4,BCE,0.03107568621635437,BCE
state,dataset_macro,fractional_dog_polykan-mlp,A4,accuracy,0.5914499658105199,percentage_points
state,dataset_macro,fractional_dog_polykan-mlp,A4,balanced_accuracy,0.2549297057250266,percentage_points
state,dataset_macro,fractional_dog_polykan-mlp,A4,AUROC,0.0767298712720299,percentage_points
state,dataset_macro,fractional_dog_polykan-mlp,A4,BCE,-0.014825299382209778,BCE
severity,vrq,fractional_dog_polykan-linear,A3,accuracy,4.34782608695653,percentage_points
severity,vrq,fractional_dog_polykan-linear,A3,balanced_accuracy,5.30303030303031,percentage_points
severity,vrq,fractional_dog_polykan-linear,A3,AUROC,5.30303030303031,percentage_points
severity,vrq,fractional_dog_polykan-linear,A3,BCE,0.25928831100463867,BCE
severity,vrq,mlp-linear,A3,accuracy,4.34782608695653,percentage_points
severity,vrq,mlp-linear,A3,balanced_accuracy,4.545454545454541,percentage_points
severity,vrq,mlp-linear,A3,AUROC,0.7575757575757569,percentage_points
severity,vrq,mlp-linear,A3,BCE,0.6125055551528931,BCE
severity,vrq,fractional_dog_polykan-mlp,A3,accuracy,0.0,percentage_points
severity,vrq,fractional_dog_polykan-mlp,A3,balanced_accuracy,0.757575757575768,percentage_points
severity,vrq,fractional_dog_polykan-mlp,A3,AUROC,4.545454545454552,percentage_points
severity,vrq,fractional_dog_polykan-mlp,A3,BCE,-0.3532172441482544,BCE
severity,vrq,fractional_dog_polykan-linear,A4,accuracy,4.347826086956519,percentage_points
severity,vrq,fractional_dog_polykan-linear,A4,balanced_accuracy,4.545454545454541,percentage_points
severity,vrq,fractional_dog_polykan-linear,A4,AUROC,-1.8939393939394034,percentage_points
severity,vrq,fractional_dog_polykan-linear,A4,BCE,0.24648356437683105,BCE
severity,vrq,mlp-linear,A4,accuracy,4.347826086956519,percentage_points
severity,vrq,mlp-linear,A4,balanced_accuracy,4.545454545454541,percentage_points
severity,vrq,mlp-linear,A4,AUROC,-3.409090909090917,percentage_points
severity,vrq,mlp-linear,A4,BCE,0.4363277554512024,BCE
severity,vrq,fractional_dog_polykan-mlp,A4,accuracy,0.0,percentage_points
severity,vrq,fractional_dog_polykan-mlp,A4,balanced_accuracy,0.0,percentage_points
severity,vrq,fractional_dog_polykan-mlp,A4,AUROC,1.5151515151515138,percentage_points
severity,vrq,fractional_dog_polykan-mlp,A4,BCE,-0.18984419107437134,BCE
severity,city,fractional_dog_polykan-linear,A3,accuracy,-5.844155844155841,percentage_points
severity,city,fractional_dog_polykan-linear,A3,balanced_accuracy,-5.844155844155841,percentage_points
severity,city,fractional_dog_polykan-linear,A3,AUROC,-7.758475290942823,percentage_points
severity,city,fractional_dog_polykan-linear,A3,BCE,0.1989349126815796,BCE
severity,city,mlp-linear,A3,accuracy,-3.2467532467532423,percentage_points
severity,city,mlp-linear,A3,balanced_accuracy,-3.2467532467532423,percentage_points
severity,city,mlp-linear,A3,AUROC,-4.8659133074717476,percentage_points
severity,city,mlp-linear,A3,BCE,0.09046494960784912,BCE
severity,city,fractional_dog_polykan-mlp,A3,accuracy,-2.5974025974025983,percentage_points
severity,city,fractional_dog_polykan-mlp,A3,balanced_accuracy,-2.5974025974025983,percentage_points
severity,city,fractional_dog_polykan-mlp,A3,AUROC,-2.892561983471076,percentage_points
severity,city,fractional_dog_polykan-mlp,A3,BCE,0.10846996307373047,BCE
severity,city,fractional_dog_polykan-linear,A4,accuracy,1.2987012987012991,percentage_points
severity,city,fractional_dog_polykan-linear,A4,balanced_accuracy,1.298701298701288,percentage_points
severity,city,fractional_dog_polykan-linear,A4,AUROC,0.5397200202395092,percentage_points
severity,city,fractional_dog_polykan-linear,A4,BCE,0.13302308320999146,BCE
severity,city,mlp-linear,A4,accuracy,-4.545454545454541,percentage_points
severity,city,mlp-linear,A4,balanced_accuracy,-4.545454545454552,percentage_points
severity,city,mlp-linear,A4,AUROC,-1.2902681733850674,percentage_points
severity,city,mlp-linear,A4,BCE,0.08560633659362793,BCE
severity,city,fractional_dog_polykan-mlp,A4,accuracy,5.844155844155841,percentage_points
severity,city,fractional_dog_polykan-mlp,A4,balanced_accuracy,5.844155844155841,percentage_points
severity,city,fractional_dog_polykan-mlp,A4,AUROC,1.8299881936245765,percentage_points
severity,city,fractional_dog_polykan-mlp,A4,BCE,0.047416746616363525,BCE
severity,dataset_macro,fractional_dog_polykan-linear,A3,accuracy,-0.7481648785996553,percentage_points
severity,dataset_macro,fractional_dog_polykan-linear,A3,balanced_accuracy,-0.27056277056276556,percentage_points
severity,dataset_macro,fractional_dog_polykan-linear,A3,AUROC,-1.2277224939562625,percentage_points
severity,dataset_macro,fractional_dog_polykan-linear,A3,BCE,0.22911161184310913,BCE
severity,dataset_macro,mlp-linear,A3,accuracy,0.5505364201016549,percentage_points
severity,dataset_macro,mlp-linear,A3,balanced_accuracy,0.6493506493506551,percentage_points
severity,dataset_macro,mlp-linear,A3,AUROC,-2.0541687749479953,percentage_points
