task,config,runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,AUROC_mean,AUROC_std,BCE_mean,BCE_std
severity,base,9,0.8333333333333335,0.20786985482077452,0.8333333333333334,0.20786985482077452,0.8641975308641975,0.19441994750646444,0.3843122704161538,0.22697159432530548
severity,mlp,9,0.8518518518518519,0.18332398030762345,0.8518518518518519,0.18332398030762345,0.8641975308641975,0.19441994750646444,0.362424299120903,0.26323541643668585
severity,poly,9,0.8333333333333334,0.20786985482077452,0.8333333333333334,0.20786985482077452,0.8765432098765432,0.17719382832601632,0.36404840937919086,0.24555627365848276
severity,fractional,9,0.8333333333333334,0.20786985482077452,0.8333333333333334,0.20786985482077452,0.8765432098765432,0.17719382832601632,0.3639013415409459,0.24578662192464065
severity,dog,9,0.7777777777777778,0.24845199749997665,0.7777777777777777,0.24845199749997665,0.8518518518518517,0.20951312035156963,0.36584898001617855,0.2529815148157926
state,base,9,0.8349485449867167,0.016853168882929502,0.8364064027809074,0.01723720750909215,0.891614914740176,0.02414013444066912,0.4158997933069865,0.03288661272397252
state,mlp,9,0.8310600821195968,0.01882718617015516,0.8326139117680499,0.019655413505804076,0.8944241609308682,0.019151621955726145,0.4112199677361382,0.03535472137322318
state,poly,9,0.8323705250810505,0.017927335568563896,0.8333833930874357,0.018289929143995468,0.8923568640236673,0.023863868701416272,0.40990735756026375,0.035327170686749516
state,fractional,9,0.8325178000027802,0.018408613249779684,0.8335501873880019,0.018771068299835974,0.892322101022985,0.02386026711689704,0.4099982976913452,0.035350339159630415
state,dog,9,0.8337047808153462,0.01979292258040487,0.8352694942827951,0.020165445755615075,0.8917110646513566,0.02307127582611536,0.40935584240489536,0.03719472859392709
