"seed","task","split","config","accuracy","balanced_accuracy","AUROC","BCE","n_samples","n_subjects","best_step","parameters","trainable_parameters"
"2001","state","split_1","base","0.8361934477379095","0.8327785803529595","0.8932238794315166","0.4094552993774414","641","6","76","35291","35291"
"2001","state","split_1","mlp","0.8330733229329174","0.8310996798375762","0.891974465094487","0.41024070978164673","641","6","10","138590","103299"
"2001","state","split_1","poly","0.8315132605304212","0.829454942995471","0.8907738560049976","0.40995877981185913","641","6","1","104310","69019"
"2001","state","split_1","fractional","0.8330733229329174","0.8310996798375762","0.8907543339059816","0.4100120961666107","641","6","1","104852","69561"
"2001","state","split_1","dog","0.8315132605304212","0.829454942995471","0.8902858035295954","0.41132816672325134","641","6","50","138513","103222"
"2001","state","split_2","base","0.8120567375886525","0.8148811626381389","0.8582151687944692","0.457470566034317","564","6","22","35291","35291"
"2001","state","split_2","mlp","0.8138297872340425","0.8177700963818944","0.8676641267598526","0.4614030420780182","564","6","41","138590","103299"
"2001","state","split_2","poly","0.8085106382978723","0.8117273048392795","0.8585179391431599","0.4580495357513428","564","6","22","104310","69019"
"2001","state","split_2","fractional","0.8085106382978723","0.8117273048392795","0.8585305545743553","0.4581127166748047","564","6","22","104852","69561"
"2001","state","split_2","dog","0.8102836879432624","0.8138088509865267","0.8576096280970883","0.45821481943130493","564","6","22","138513","103222"
"2001","state","split_3","base","0.8492307692307692","0.8547038060159607","0.9245223296500922","0.3725864589214325","650","6","10","35291","35291"
"2001","state","split_3","mlp","0.8492307692307692","0.8532842234499693","0.9175011510128914","0.3697876036167145","650","6","50","138590","103299"
"2001","state","split_3","poly","0.8507692307692307","0.8553752302025783","0.9187384898710864","0.3716237246990204","650","6","50","104310","69019"
"2001","state","split_3","fractional","0.8507692307692307","0.8553752302025783","0.9187576734192755","0.37178945541381836","650","6","50","104852","69561"
"2001","state","split_3","dog","0.8553846153846154","0.859873772252916","0.9194578729281768","0.36690565943717957","650","6","50","138513","103222"
"3001","state","split_1","base","0.8393135725429017","0.8371954552553491","0.8961912384819616","0.41346994042396545","641","6","90","35291","35291"
"3001","state","split_1","mlp","0.8377535101404057","0.8357117757301264","0.8929212868967672","0.4123649299144745","641","6","40","138590","103299"
"3001","state","split_1","poly","0.8393135725429017","0.8375175698891145","0.8928236764016867","0.4104042053222656","641","6","40","104310","69019"
"3001","state","split_1","fractional","0.8393135725429017","0.8375175698891145","0.8927943932531626","0.41046828031539917","641","6","40","104852","69561"
"3001","state","split_1","dog","0.8408736349453978","0.8386791347805715","0.892872481649227","0.41050875186920166","641","6","40","138513","103222"
"3001","state","split_2","base","0.8191489361702128","0.8209870313367311","0.8698844426502498","0.4406006634235382","564","6","44","35291","35291"
"3001","state","split_2","mlp","0.8031914893617021","0.8068955946914265","0.8703007518796992","0.4553981125354767","564","6","44","138590","103299"
"3001","state","split_2","poly","0.8120567375886525","0.8130645405459959","0.8696952111823182","0.44857078790664673","564","6","77","104310","69019"
"3001","state","split_2","fractional","0.8102836879432624","0.8111848412978755","0.8695816723015592","0.4488849341869354","564","6","77","104852","69561"
"3001","state","split_2","dog","0.8085106382978723","0.8125346924357875","0.8704647524852399","0.45374178886413574","564","6","33","138513","103222"
"3001","state","split_3","base","0.8538461538461538","0.8560082872928176","0.9046385819521179","0.39852744340896606","650","6","40","35291","35291"
"3001","state","split_3","mlp","0.8446153846153847","0.8512699508901167","0.9180862492326579","0.3818078935146332","650","6","20","138590","103299"
"3001","state","split_3","poly","0.8415384615384616","0.8477977286678944","0.9202731737262124","0.3765147924423218","650","6","20","104310","69019"
"3001","state","split_3","fractional","0.8415384615384616","0.8477977286678944","0.9202443984039288","0.3764520585536957","650","6","20","104852","69561"
"3001","state","split_3","dog","0.8553846153846154","0.8584541896869244","0.9201676642111725","0.36230525374412537","650","6","20","138513","103222"
"4001","state","split_1","base","0.8393135725429017","0.838322856473528","0.8975675464625956","0.40360116958618164","641","6","50","35291","35291"
"4001","state","split_1","mlp","0.8361934477379095","0.8350333827893175","0.8972747149773543","0.40155261754989624","641","6","50","138590","103299"
"4001","state","split_1","poly","0.8424336973478939","0.8401628143057942","0.9028873184444792","0.39528828859329224","641","6","30","104310","69019"
"4001","state","split_1","fractional","0.8424336973478939","0.8401628143057942","0.9028677963454631","0.39531007409095764","641","6","30","104852","69561"
"4001","state","split_1","dog","0.8361934477379095","0.8347112681555521","0.9007496486022177","0.39614057540893555","641","6","40","138513","103222"
"4001","state","split_2","base","0.8085106382978723","0.8115254579401524","0.8559317757480951","0.47317808866500854","564","6","11","35291","35291"
"4001","state","split_2","mlp","0.8031914893617021","0.8012438815158702","0.8760660039360145","0.44895559549331665","564","6","82","138590","103299"
"4001","state","split_2","poly","0.8067375886524822","0.806618055205127","0.8583223999596307","0.45746299624443054","564","6","11","104310","69019"
"4001","state","split_2","fractional","0.8067375886524822","0.806618055205127","0.8583034768128375","0.4575289487838745","564","6","11","104852","69561"
"4001","state","split_2","dog","0.8067375886524822","0.8076272897007619","0.8598299439874855","0.4565625488758087","564","6","55","138513","103222"
"4001","state","split_3","base","0.8569230769230769","0.8612549877225292","0.924359269490485","0.3742085099220276","650","6","10","35291","35291"
"4001","state","split_3","mlp","0.8584615384615385","0.861216620626151","0.9180286985880908","0.3594692051410675","650","6","38","138590","103299"
"4001","state","split_3","poly","0.8584615384615385","0.8587323511356661","0.9191797114794352","0.36129310727119446","650","6","20","104310","69019"
"4001","state","split_3","fractional","0.86","0.8604684622467772","0.9190646101903008","0.36142611503601074","650","6","20","104852","69561"
"4001","state","split_3","dog","0.8584615384615385","0.8622813075506446","0.9139617863720073","0.36849501729011536","650","6","50","138513","103222"
