"seed","task","split","contrast","accuracy","balanced_accuracy","AUROC","BCE"
"2001","state","split_1","dog - base","-0.004680187207488307","-0.003323637357488529","-0.002938075901921189","0.0018728673458099365"
"2001","state","split_1","dog - mlp","-0.0015600624024961762","-0.0016447368421051989","-0.0016886615648915582","0.0010874569416046143"
"2001","state","split_1","dog - poly","0.0","0.0","-0.00048805247540217866","0.001369386911392212"
"2001","state","split_1","dog - fractional","-0.0015600624024961762","-0.0016447368421051989","-0.000468530376386167","0.001316070556640625"
"2001","state","split_2","dog - base","-0.0017730496453900457","-0.0010723116516122566","-0.0006055406973809463","0.000744253396987915"
"2001","state","split_2","dog - mlp","-0.0035460992907800915","-0.003961245395367685","-0.01005449866276431","-0.003188222646713257"
"2001","state","split_2","dog - poly","0.0017730496453901567","0.002081546147247204","-0.000908311046071586","0.0001652836799621582"
"2001","state","split_2","dog - fractional","0.0017730496453901567","0.002081546147247204","-0.0009209264772670478","0.00010210275650024414"
"2001","state","split_3","dog - base","0.006153846153846176","0.0051699662369552035","-0.005064456721915356","-0.00568079948425293"
"2001","state","split_3","dog - mlp","0.006153846153846176","0.006589548802946599","0.0019567219152853976","-0.002881944179534912"
"2001","state","split_3","dog - poly","0.004615384615384688","0.004498542050337617","0.0007193830570904058","-0.00471806526184082"
"2001","state","split_3","dog - fractional","0.004615384615384688","0.004498542050337617","0.0007001995089013224","-0.004883795976638794"
"3001","state","split_1","dog - base","0.0015600624024960652","0.0014836795252224366","-0.0033187568327346373","-0.002961188554763794"
"3001","state","split_1","dog - mlp","0.0031201248049921304","0.0029673590504450953","-4.880524754025117e-05","-0.0018561780452728271"
"3001","state","split_1","dog - poly","0.0015600624024960652","0.0011615648914570231","4.880524754025117e-05","0.00010454654693603516"
"3001","state","split_1","dog - fractional","0.0015600624024960652","0.0011615648914570231","7.808839606437967e-05","4.0471553802490234e-05"
"3001","state","split_2","dog - base","-0.010638297872340496","-0.008452338900943657","0.0005803098349901337","0.013141125440597534"
"3001","state","split_2","dog - mlp","0.005319148936170137","0.005639097744360999","0.00016400060554067064","-0.0016563236713409424"
"3001","state","split_2","dog - poly","-0.0035460992907802025","-0.0005298481102083974","0.000769541302921728","0.005171000957489014"
"3001","state","split_2","dog - fractional","-0.0017730496453901567","0.0013498511379119726","0.0008830801836806623","0.004856854677200317"
"3001","state","split_3","dog - base","0.0015384615384615996","0.0024459023941068025","0.015529082259054583","-0.0362221896648407"
"3001","state","split_3","dog - mlp","0.010769230769230753","0.00718423879680774","0.002081414978514551","-0.019502639770507812"
"3001","state","split_3","dog - poly","0.013846153846153841","0.010656461019030061","-0.00010550951503995876","-0.014209538698196411"
"3001","state","split_3","dog - fractional","0.013846153846153841","0.010656461019030061","-7.673419275633364e-05","-0.014146804809570312"
"4001","state","split_1","dog - base","-0.0031201248049922414","-0.0036115883179759223","0.0031821021396221116","-0.007460594177246094"
"4001","state","split_1","dog - mlp","0.0","-0.0003221146337654135","0.0034749336248633966","-0.005412042140960693"
"4001","state","split_1","dog - poly","-0.006240249609984372","-0.005451546150242126","-0.0021376698422614915","0.0008522868156433105"
"4001","state","split_1","dog - fractional","-0.006240249609984372","-0.005451546150242126","-0.002118147743245369","0.0008305013179779053"
"4001","state","split_2","dog - base","-0.0017730496453900457","-0.003898168239390487","0.003898168239390376","-0.01661553978919983"
"4001","state","split_2","dog - mlp","0.0035460992907800915","0.006383408184891692","-0.016236059948529058","0.007606953382492065"
"4001","state","split_2","dog - poly","0.0","0.0010092344956349475","0.0015075440278548013","-0.0009004473686218262"
"4001","state","split_2","dog - fractional","0.0","0.0010092344956349475","0.001526467174647994","-0.0009663999080657959"
"4001","state","split_3","dog - base","0.0015384615384615996","0.0010263198281154073","-0.010397483118477657","-0.0057134926319122314"
"4001","state","split_3","dog - mlp","0.0","0.0010646869244935742","-0.0040669122160834625","0.009025812149047852"
"4001","state","split_3","dog - poly","0.0","0.0035489564149784325","-0.005217925107427912","0.0072019100189208984"
"4001","state","split_3","dog - fractional","-0.0015384615384614886","0.001812845303867383","-0.005102823818293523","0.007068902254104614"
