contrast,dataset,accuracy,balanced_accuracy,AUROC,BCE
dog - base,vrq,0.0,0.0,0.0,-0.01593494415283203
dog - mlp,vrq,0.0,0.0,0.0,0.026569992303848267
dog - poly,vrq,0.0,0.0,0.0,-0.00183868408203125
dog - fractional,vrq,0.0,0.0,0.0,-0.0022132694721221924
dog - base,city,0.0,0.0,0.0,-0.0026854276657104492
dog - mlp,city,-0.06896551724137934,-0.0714285714285714,-0.004761904761904745,0.0092448890209198
dog - poly,city,-0.034482758620689724,-0.033333333333333215,0.0,-0.007733643054962158
dog - fractional,city,-0.034482758620689724,-0.033333333333333215,0.0,-0.008408576250076294
