seed,split,contrast,accuracy,balanced_accuracy,subject_macro_balanced_accuracy,AUROC,BCE
2001,split_1,dog - base,0.0,0.0,0.0,0.0,-0.008518993854522705
2001,split_1,dog - mlp,0.0,0.0,0.0,0.0,0.00016924738883972168
2001,split_1,dog - poly,0.0,0.0,0.0,0.0,0.0043517351150512695
2001,split_1,dog - fractional,0.0,0.0,0.0,0.0,0.004332363605499268
2001,split_2,dog - base,-0.08000000000000007,-0.03246753246753248,0.11333333333333329,-0.058441558441558406,-0.0030552148818969727
2001,split_2,dog - mlp,0.0,0.0,0.0,0.03246753246753248,-0.00014317035675048828
2001,split_2,dog - poly,0.0,0.029220779220779203,0.12333333333333324,0.012987012987012991,-0.045664072036743164
2001,split_2,dog - fractional,0.0,0.029220779220779203,0.12333333333333324,0.012987012987012991,-0.04603016376495361
2001,split_3,dog - base,0.03125,0.02941176470588236,0.014285714285714235,0.02352941176470602,-0.04323101043701172
2001,split_3,dog - mlp,0.0625,0.06666666666666676,0.02857142857142847,-0.0039215686274508554,-0.017812788486480713
2001,split_3,dog - poly,0.03125,0.02941176470588236,0.014285714285714235,-0.011764705882352788,0.013316810131072998
2001,split_3,dog - fractional,0.03125,0.02941176470588236,0.014285714285714235,-0.01960784313725472,0.012754231691360474
3001,split_1,dog - base,0.0,0.0,0.0,0.0,0.004719436168670654
3001,split_1,dog - mlp,0.0,0.0,0.0,-0.004761904761904856,-0.0027074217796325684
3001,split_1,dog - poly,-0.034482758620689724,-0.03809523809523807,-0.17499999999999993,0.004761904761904745,-0.008358269929885864
3001,split_1,dog - fractional,0.0,0.0,0.0,0.0,-0.009488672018051147
3001,split_2,dog - base,0.0,0.0,0.0,-0.019480519480519487,0.04604041576385498
3001,split_2,dog - mlp,0.040000000000000036,0.04545454545454547,0.050000000000000044,-0.019480519480519487,-0.007887303829193115
3001,split_2,dog - poly,0.040000000000000036,0.025974025974025983,-0.009999999999999898,-0.019480519480519487,-0.017546534538269043
3001,split_2,dog - fractional,0.040000000000000036,0.025974025974025983,-0.009999999999999898,-0.019480519480519487,-0.017444610595703125
3001,split_3,dog - base,0.0,0.0039215686274509665,0.0,0.03529411764705892,-0.041226357221603394
3001,split_3,dog - mlp,0.0,0.0039215686274509665,0.0,0.027450980392156765,-0.04599499702453613
3001,split_3,dog - poly,0.0,0.0,0.0,-0.0039215686274509665,-0.02069684863090515
3001,split_3,dog - fractional,-0.03125,-0.025490196078431393,0.011428571428571566,-0.01176470588235301,-0.0004341304302215576
4001,split_1,dog - base,0.0,0.0,0.0,0.023809523809523725,-0.005659729242324829
4001,split_1,dog - mlp,0.0,0.0,0.0,0.014285714285714124,-0.004916846752166748
4001,split_1,dog - poly,0.0,0.0,0.0,0.009523809523809379,-0.0006059110164642334
4001,split_1,dog - fractional,0.0,0.0,0.0,0.009523809523809379,-0.0005495548248291016
4001,split_2,dog - base,0.08000000000000007,0.09090909090909094,0.13333333333333341,0.006493506493506551,0.07242715358734131
4001,split_2,dog - mlp,0.08000000000000007,0.06168831168831168,0.026666666666666616,0.019480519480519543,0.05335080623626709
4001,split_2,dog - poly,0.040000000000000036,0.05519480519480524,0.11333333333333329,5.551115123125783e-17,0.04173189401626587
4001,split_2,dog - fractional,0.040000000000000036,0.05519480519480524,0.11333333333333329,5.551115123125783e-17,0.04170030355453491
4001,split_3,dog - base,0.0,0.0,0.0,0.03529411764705881,-0.042042046785354614
4001,split_3,dog - mlp,0.125,0.12549019607843148,0.08523809523809522,0.0,-0.028219610452651978
4001,split_3,dog - poly,0.03125,0.02941176470588236,0.014285714285714235,-0.027450980392156765,0.04417499899864197
4001,split_3,dog - fractional,0.0625,0.05882352941176472,0.02857142857142847,-0.03921568627450989,0.04296475648880005
