seed,split,config,accuracy,balanced_accuracy,subject_macro_balanced_accuracy,AUROC,BCE,path_score_MAE,path_score_RMSE,path_score_rank_correlation,n_samples,n_subjects,best_step,parameters,trainable_parameters
2001,split_1,base,0.8620689655172413,0.8595238095238096,0.675,0.9238095238095239,0.3171808421611786,17.7437493510661,23.060808206925966,0.6763546798029555,29,5,180,35868,35868
2001,split_1,mlp,0.8620689655172413,0.8595238095238096,0.675,0.9238095238095239,0.30849260091781616,16.335951611611616,20.583112201279118,0.6630541871921181,29,5,60,139744,103876
2001,split_1,poly,0.8620689655172413,0.8595238095238096,0.675,0.9238095238095239,0.3043101131916046,16.359498222078418,20.431911125661568,0.6300492610837436,29,5,60,105464,69596
2001,split_1,fractional,0.8620689655172413,0.8595238095238096,0.675,0.9238095238095239,0.3043294847011566,16.357521426679284,20.42886275158242,0.6339901477832511,29,5,60,106006,70138
2001,split_1,dog,0.8620689655172413,0.8595238095238096,0.675,0.9238095238095239,0.3086618483066559,15.926938427769567,19.337696578226854,0.6300492610837436,29,5,60,139667,103799
2001,split_2,base,0.56,0.5,0.5,0.5454545454545454,0.7253088355064392,25.633125474030745,29.046596359091783,0.009999999999999998,25,5,1,35868,35868
2001,split_2,mlp,0.48,0.4675324675324675,0.6133333333333333,0.45454545454545453,0.7223967909812927,28.81430325475951,37.98789272203692,0.1323076923076923,25,5,14,139744,103876
2001,split_2,poly,0.48,0.4383116883116883,0.49000000000000005,0.474025974025974,0.7679176926612854,27.160924443549515,30.418612710907873,0.19846153846153847,25,5,25,105464,69596
2001,split_2,fractional,0.48,0.4383116883116883,0.49000000000000005,0.474025974025974,0.7682837843894958,27.16696672345253,30.426048528778452,0.19846153846153847,25,5,25,106006,70138
2001,split_2,dog,0.48,0.4675324675324675,0.6133333333333333,0.487012987012987,0.7222536206245422,26.650993104607377,31.16450629448763,0.30538461538461537,25,5,21,139667,103799
2001,split_3,base,0.875,0.8745098039215686,0.7523809523809524,0.8705882352941177,0.4316478967666626,11.790381631525886,15.881092474048543,0.657258064516129,32,5,84,35868,35868
2001,split_3,mlp,0.84375,0.8372549019607842,0.7380952380952381,0.8980392156862745,0.4062296748161316,15.223175256001324,19.911971571898757,0.6466275659824046,32,5,144,139744,103876
2001,split_3,poly,0.875,0.8745098039215686,0.7523809523809524,0.9058823529411765,0.3751000761985779,14.122434253055125,17.321345140082805,0.5447214076246334,32,5,522,105464,69596
2001,split_3,fractional,0.875,0.8745098039215686,0.7523809523809524,0.9137254901960784,0.3756626546382904,14.716442250943185,17.16033905290332,0.5362903225806451,32,5,492,106006,70138
2001,split_3,dog,0.90625,0.903921568627451,0.7666666666666666,0.8941176470588237,0.3884168863296509,11.762181053565296,14.841754486603772,0.690615835777126,32,5,506,139667,103799
3001,split_1,base,0.8620689655172413,0.8595238095238096,0.675,0.9333333333333333,0.295416921377182,25.603428427612833,32.026161502571945,0.6788177339901476,29,5,222,35868,35868
3001,split_1,mlp,0.8620689655172413,0.8595238095238096,0.675,0.9380952380952382,0.30284377932548523,16.718202912259702,19.59137838198094,0.6625615763546797,29,5,30,139744,103876
3001,split_1,poly,0.896551724137931,0.8976190476190476,0.85,0.9285714285714286,0.3084946274757385,17.485021759958414,21.262540787382626,0.622167487684729,29,5,270,105464,69596
3001,split_1,fractional,0.8620689655172413,0.8595238095238096,0.675,0.9333333333333333,0.3096250295639038,16.640363265899516,19.573985681099437,0.6832512315270934,29,5,138,106006,70138
3001,split_1,dog,0.8620689655172413,0.8595238095238096,0.675,0.9333333333333333,0.30013635754585266,16.667723562621823,20.87972714657298,0.6142857142857141,29,5,30,139667,103799
3001,split_2,base,0.52,0.474025974025974,0.51,0.461038961038961,0.7084882259368896,27.384959041950392,30.76069418857371,0.01923076923076923,25,5,7,35868,35868
3001,split_2,mlp,0.48,0.42857142857142855,0.45999999999999996,0.461038961038961,0.7624159455299377,26.15053502338372,29.686647042241272,-0.02692307692307692,25,5,7,139744,103876
3001,split_2,poly,0.48,0.44805194805194803,0.5199999999999999,0.461038961038961,0.7720751762390137,27.79388728970357,31.472718823831993,0.10846153846153846,25,5,14,105464,69596
3001,split_2,fractional,0.48,0.44805194805194803,0.5199999999999999,0.461038961038961,0.7719732522964478,27.792205150328865,31.471571887324647,0.10846153846153846,25,5,14,106006,70138
3001,split_2,dog,0.52,0.474025974025974,0.51,0.44155844155844154,0.7545286417007446,26.153043836132838,29.33827034168874,0.13307692307692306,25,5,7,139667,103799
3001,split_3,base,0.84375,0.8411764705882353,0.7380952380952381,0.8509803921568626,0.45814818143844604,13.228278430002105,17.158181698873918,0.6326979472140761,32,5,78,35868,35868
3001,split_3,mlp,0.84375,0.8411764705882353,0.7380952380952381,0.8588235294117648,0.4629168212413788,13.290563702000526,16.776844955196108,0.6319648093841641,32,5,42,139744,103876
3001,split_3,poly,0.84375,0.8450980392156863,0.7380952380952381,0.8901960784313725,0.4376186728477478,14.576111458026165,18.43160935538812,0.5377565982404692,32,5,510,105464,69596
3001,split_3,fractional,0.875,0.8705882352941177,0.7266666666666666,0.8980392156862745,0.4173559546470642,15.030524267356771,19.301545601088275,0.5219941348973607,32,5,306,106006,70138
3001,split_3,dog,0.84375,0.8450980392156863,0.7380952380952381,0.8862745098039215,0.41692182421684265,14.103648228156056,18.221399676918253,0.6660557184750733,32,5,240,139667,103799
4001,split_1,base,0.896551724137931,0.8976190476190476,0.85,0.9333333333333333,0.2783276438713074,15.428139972010305,19.494373392364082,0.6960591133004924,29,5,102,35868,35868
4001,split_1,mlp,0.896551724137931,0.8976190476190476,0.85,0.942857142857143,0.2775847613811493,14.857682430499754,18.64714046934679,0.6965517241379309,29,5,102,139744,103876
4001,split_1,poly,0.896551724137931,0.8976190476190476,0.85,0.9476190476190477,0.2732738256454468,14.69675791247195,18.48420717367266,0.7147783251231525,29,5,102,105464,69596
4001,split_1,fractional,0.896551724137931,0.8976190476190476,0.85,0.9476190476190477,0.27321746945381165,14.692256267219253,18.482613925779848,0.7147783251231525,29,5,102,106006,70138
4001,split_1,dog,0.896551724137931,0.8976190476190476,0.85,0.9571428571428571,0.27266791462898254,15.268719176707616,19.15507563421983,0.7113300492610837,29,5,102,139667,103799
4001,split_2,base,0.48,0.44805194805194803,0.5199999999999999,0.461038961038961,0.8197218179702759,27.33614545919088,29.90240023643702,0.12,25,5,21,35868,35868
4001,split_2,mlp,0.48,0.4772727272727273,0.6266666666666667,0.44805194805194803,0.8387981653213501,27.164224934619533,29.58702787252374,0.1446153846153846,25,5,14,139744,103876
4001,split_2,poly,0.52,0.48376623376623373,0.54,0.4675324675324675,0.8504170775413513,26.82597927822352,29.573876460298447,0.13692307692307693,25,5,7,105464,69596
4001,split_2,fractional,0.52,0.48376623376623373,0.54,0.4675324675324675,0.8504486680030823,26.82907844949294,29.566967447785977,0.13692307692307693,25,5,7,106006,70138
4001,split_2,dog,0.56,0.538961038961039,0.6533333333333333,0.4675324675324676,0.8921489715576172,27.27019857479744,29.971158748543782,0.22461538461538463,25,5,35,139667,103799
4001,split_3,base,0.90625,0.903921568627451,0.7666666666666666,0.8588235294117648,0.4196312427520752,22.997342012563692,26.786375882846393,0.658357771260997,32,5,60,35868,35868
4001,split_3,mlp,0.78125,0.7784313725490195,0.6814285714285714,0.8941176470588236,0.40580880641937256,13.774757947913645,17.426019924576078,0.5945747800586509,32,5,246,139744,103876
4001,split_3,poly,0.875,0.8745098039215686,0.7523809523809524,0.9215686274509803,0.3334141969680786,12.147736877830624,15.872818153855631,0.6810850439882697,32,5,618,105464,69596
4001,split_3,fractional,0.84375,0.8450980392156863,0.7380952380952381,0.9333333333333335,0.33462443947792053,12.158613571401817,15.876894592815285,0.6777859237536656,32,5,564,106006,70138
4001,split_3,dog,0.90625,0.903921568627451,0.7666666666666666,0.8941176470588236,0.3775891959667206,13.022775655329312,17.51054764817268,0.6400293255131964,32,5,216,139667,103799
