config,runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,subject_macro_balanced_accuracy_mean,subject_macro_balanced_accuracy_std,AUROC_mean,AUROC_std,BCE_mean,BCE_std,path_score_MAE_mean,path_score_MAE_std,path_score_RMSE_mean,path_score_RMSE_std,path_score_rank_correlation_mean,path_score_rank_correlation_std
base,9,0.7561877394636015,0.16897726534622104,0.7398169368757604,0.1892062479563933,0.6652380952380953,0.1201914886884126,0.7598223127634891,0.19493035851359003,0.49487462308671737,0.19250265887904175,20.793949977772552,5.90710147871551,24.901853771303706,5.819377932666357,0.4609751199239519,0.2926629727604352
mlp,9,0.7254932950191572,0.17589321069294253,0.716322892793481,0.1855305585327523,0.6730687830687831,0.10053118210042093,0.7577087400616814,0.2157007153243179,0.49860970510376823,0.20470669430974517,19.147710785894372,5.939852889089551,23.355337237897746,6.890742568920181,0.4605927381233276,0.27175799155354674
poly,9,0.7476580459770115,0.180801907711756,0.7354454913278443,0.1980245201981924,0.6853174603174604,0.13026621578156355,0.7689160512689924,0.2136374225774365,0.4914023843076494,0.22149680138036007,19.018705721655255,5.993294331335954,22.585515525675746,5.796672600365871,0.4638226975101279,0.23056892925690653
fractional,9,0.7438266283524904,0.1779489258044207,0.7307769572475454,0.19457848556392648,0.6630158730158731,0.11471979951651148,0.7724952607305549,0.21605056698271147,0.48950230413013035,0.22195266739096628,19.042663485863798,5.937617480663936,22.476536607684185,5.819952238379045,0.46799291550125804,0.23520800446239123
dog,9,0.7596599616858237,0.17168241600054743,0.7500141470729706,0.18339291751472497,0.6942328042328042,0.09403290205511178,0.7649888238123533,0.21315196630876562,0.4925916956530677,0.21859175313819623,18.536246846631926,5.935369362469838,22.26890406171495,5.800736749643059,0.5128269808303177,0.21213599693831475
