seed,split,config,accuracy,balanced_accuracy,AUROC,BCE,subject_macro_segment_accuracy,subject_aggregated_accuracy,subject_aggregated_balanced_accuracy,subject_aggregated_AUROC,subject_count,n_segments,n_subjects,best_step,parameters
2001,split_1,base,0.5416666666666666,0.5352487135506003,0.5837907375643224,0.6883681416511536,0.534034034034034,0.5,0.5,0.6666666666666667,6,216,6,8,35291
2001,split_1,mlp,0.5370370370370371,0.5387650085763294,0.6010291595197256,0.6784504652023315,0.535454572219278,0.6666666666666666,0.6666666666666666,0.6666666666666667,6,216,6,8,138590
2001,split_1,poly,0.5509259259259259,0.5534305317324185,0.5748713550600344,0.6795496344566345,0.5515000294412059,0.5,0.5,0.6666666666666667,6,216,6,4,104310
2001,split_1,fractional,0.5601851851851852,0.5628644939965695,0.5748713550600344,0.6795971989631653,0.5610316198551493,0.5,0.5,0.6666666666666667,6,216,6,4,104852
2001,split_1,dog,0.5555555555555556,0.5578044596912521,0.6032590051457976,0.6725268363952637,0.555481952540776,0.6666666666666666,0.6666666666666666,0.6666666666666667,6,216,6,12,138513
2001,split_2,base,0.711764705882353,0.6091893517822229,0.7883892314633779,0.5484643578529358,0.6252441252441252,0.5,0.5,1.0,6,170,6,24,35291
2001,split_2,mlp,0.7352941176470589,0.7033388479470597,0.7756053541885999,0.557933509349823,0.7161575911575913,0.8333333333333334,0.8333333333333333,1.0,6,170,6,8,138590
2001,split_2,poly,0.7235294117647059,0.6725071439314183,0.7691382162731237,0.565730094909668,0.6776636776636776,0.6666666666666666,0.6666666666666666,1.0,6,170,6,8,104310
2001,split_2,fractional,0.7235294117647059,0.6725071439314183,0.7691382162731237,0.5655981302261353,0.6776636776636776,0.6666666666666666,0.6666666666666666,1.0,6,170,6,8,104852
2001,split_2,dog,0.7235294117647059,0.6400210557978644,0.7781621296435555,0.5526824593544006,0.6673920423920423,0.6666666666666666,0.6666666666666666,1.0,6,170,6,8,138513
2001,split_3,base,0.6467889908256881,0.6467889908256881,0.7321774261425806,0.6135199069976807,0.6441441441441441,0.6666666666666666,0.6666666666666666,0.888888888888889,6,218,6,16,35291
2001,split_3,mlp,0.6788990825688074,0.6788990825688073,0.7567544819459642,0.6047762036323547,0.6770520520520521,0.8333333333333334,0.8333333333333333,0.888888888888889,6,218,6,4,138590
2001,split_3,poly,0.6743119266055045,0.6743119266055047,0.7530510899755913,0.5962588787078857,0.6720470470470471,0.8333333333333334,0.8333333333333333,0.888888888888889,6,218,6,12,104310
2001,split_3,fractional,0.6697247706422018,0.6697247706422018,0.7529669219762646,0.5960634350776672,0.6674174174174174,0.8333333333333334,0.8333333333333333,0.888888888888889,6,218,6,12,104852
