seed,split,contrast,accuracy,balanced_accuracy,AUROC,BCE,subject_macro_segment_accuracy,subject_aggregated_accuracy,subject_aggregated_balanced_accuracy,subject_aggregated_AUROC
2001,split_1,dog - base,0.01388888888888895,0.02255574614065181,0.01946826758147513,-0.015841305255889893,0.021447918506741992,0.16666666666666663,0.16666666666666663,0.0
2001,split_1,dog - mlp,0.01851851851851849,0.01903945111492278,0.00222984562607198,-0.005923628807067871,0.02002738032149809,0.0,0.0,0.0
2001,split_1,dog - poly,0.00462962962962965,0.004373927958833623,0.02838765008576316,-0.00702279806137085,0.003981923099570128,0.16666666666666663,0.16666666666666663,0.0
2001,split_1,dog - fractional,-0.00462962962962965,-0.005060034305317318,0.02838765008576316,-0.007070362567901611,-0.00554966731437323,0.16666666666666663,0.16666666666666663,0.0
2001,split_2,dog - base,0.0117647058823529,0.030831704015641503,-0.010227101819822448,0.004218101501464844,0.0421479171479171,0.16666666666666663,0.16666666666666663,0.0
2001,split_2,dog - mlp,-0.01176470588235301,-0.0633177921491953,0.0025567754549555843,-0.005251049995422363,-0.04876554876554895,-0.16666666666666674,-0.16666666666666663,0.0
2001,split_2,dog - poly,0.0,-0.032486088133553914,0.009023913370431735,-0.013047635555267334,-0.010271635271635327,0.0,0.0,0.0
2001,split_2,dog - fractional,0.0,-0.032486088133553914,0.009023913370431735,-0.01291567087173462,-0.010271635271635327,0.0,0.0,0.0
2001,split_3,dog - base,0.050458715596330306,0.050458715596330306,0.025923743792609977,-0.03409785032272339,0.05092592592592593,0.16666666666666674,0.16666666666666663,-0.11111111111111116
2001,split_3,dog - mlp,0.01834862385321101,0.01834862385321112,0.001346687989226436,-0.02535414695739746,0.018018018018017945,0.0,0.0,-0.11111111111111116
2001,split_3,dog - poly,0.022935779816513846,0.022935779816513735,0.005050079959599274,-0.016836822032928467,0.023023023023022948,0.0,0.0,-0.11111111111111116
2001,split_3,dog - fractional,0.02752293577981657,0.02752293577981657,0.00513424795892603,-0.01664137840270996,0.0276526526526526,0.0,0.0,-0.11111111111111116
