config,runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,AUROC_mean,AUROC_std,BCE_mean,BCE_std,subject_macro_segment_accuracy_mean,subject_macro_segment_accuracy_std,subject_aggregated_accuracy_mean,subject_aggregated_accuracy_std,subject_aggregated_balanced_accuracy_mean,subject_aggregated_balanced_accuracy_std,subject_aggregated_AUROC_mean,subject_aggregated_AUROC_std
base,9,0.6484017131600629,0.09583600772912212,0.6294007034593646,0.08321579578669915,0.7108044081015467,0.12172965941401499,0.5973810056845347,0.08859561963672694,0.6308184698707575,0.08519069044723518,0.7037037037037037,0.17173367584251306,0.7037037037037037,0.17173367584251303,0.8271604938271605,0.18228176617572095
mlp,9,0.6446616986357347,0.0985151678695071,0.6378337571694779,0.09114452136458391,0.7125998579330678,0.1097817991775777,0.6005029082298279,0.07985043281581848,0.6417179268486459,0.09914734962766748,0.7777777777777778,0.13608276348795437,0.7777777777777778,0.13608276348795434,0.8395061728395062,0.1581018330230333
poly,9,0.6494519509015522,0.08813230046073946,0.6358881037608438,0.07421914678227742,0.7113105034256085,0.11032291509341656,0.5979095333152347,0.08122753510446867,0.6374348776309561,0.07819337621391177,0.7037037037037037,0.15270761576361708,0.7037037037037037,0.15270761576361702,0.8271604938271605,0.15810183302303327
fractional,9,0.6504807574859143,0.08710378569179493,0.636936321790194,0.07320131699607729,0.7113856739347841,0.11031769113377238,0.5978411767217848,0.08123658421005914,0.6384800404408247,0.0771629907033776,0.7037037037037037,0.15270761576361708,0.7037037037037037,0.15270761576361702,0.8271604938271605,0.15810183302303327
dog,9,0.6570899375720387,0.09330571612300018,0.6423751185352448,0.08120365103339561,0.7199518833805363,0.1026926733753106,0.5923310783174303,0.08052137691265507,0.644017440586068,0.08294297247505208,0.7592592592592592,0.13857990321384972,0.7592592592592592,0.13857990321384966,0.8271604938271605,0.1581018330230333
